pl_orbper,pl_mass,pl_rad,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,st_age,ESI,ESI-ROUND
60.866168,3.81,1.78,,4092,0.6,0.63,4.67,4.07,0.8,1
28.14,3.81,1.77,0.02,3350,,0.33,4.69,2,0.8,1
168.811174,3.81,1.78,,4886,0.74,0.81,4.61,2.34,0.79,1
92.743711,3.97,1.82,,4351,0.57,,4.72,,0.79,1
10.77,4,1.83,0.33,3071,0.21,0.18,5.04,,0.77,1
259.33683,4.16,1.87,,5710,0.95,0.97,4.47,4.37,0.76,1
101.11141,4.13,1.86,0.34,4134,0.56,0.57,4.71,1.3,0.75,1
36.059,5.22,2.14,0.07,,,0.48,,,0.74,1
140.2524,5.34,2.17,,4807,0.69,0.72,4.62,7.7,0.74,1
56.0560538,5.09,2.11,,3722,0.51,0.53,4.75,3.89,0.73,1
17.70632,5.47,2.2,,3315,0.28,0.27,4.97,,0.73,1
52.661793,5.66,2.24,,4508,0.62,,4.68,,0.73,1
35.189346,5.43,2.2,0.496,3430,0.31,0.33,4.97,,0.72,1
177.6693,6.04,2.24,0.11,4723,0.71,0.74,4.61,3.2,0.71,1
289.863876,9.1,2.2,0.72,5596,0.87,0.86,,7,0.71,1
169.134,5.56,2.35,,5146,0.84,0.87,4.53,,0.71,1
32.939623,8.92,2.38,0.2,3457,0.41,0.36,,,0.7,1
196.435224,4.93,2.2,,5422,0.86,0.9,4.53,4.27,0.7,1
18.4498,5.69,2.37,,3390,0.31,0.3,,1,0.7,1
24.329,6.4,2.25,0.09,3371,,0.43,,,0.7,1
25.63058,6.8,2.41,0.099,,,,,,0.69,1
125.4131177,6.77,2.49,,4540,0.69,0.74,4.63,2.51,0.69,1
247.35373,5.43,2.19,,4880,0.62,,4.68,,0.68,1
197.8,7.09,2.57,0.29,4956,,0.77,4.47,4.5,0.66,1
63.33627,3.91,1.8,0.33,3740,0.48,0.5,4.77,,0.66,1
60.722,8.1,2.77,0.17,,,0.61,,,0.65,1
31.393463,4.36,1.91,,3341,0.32,0.33,4.96,1,0.65,1
154.43,9.44,3.04,0.12,5103,0.76,0.82,4.54,6,0.63,1
48.1345,7.6,2.67,0.12,3466,0.4,0.42,,,0.63,1
24.73694,6.38,1.635,0.096,2988,0.21,0.19,,,0.62,1
55.661,6.1,2.34,,3505,0.34,0.34,4.94,,0.58,1
17.478,4.4,1.94,0.08,3028,,0.27,,,0.57,1
121.93268,8.57,2.87,0.366,,,0.51,,,0.56,1
140.43,5.2,2.13,0.45,3728,0.5,0.51,4.76,0.8,0.52,1
106.3,7.56,2.66,0.14,,,0.43,,,0.48,0
16.141132,2.332,10.4,0.23,5868,1,0.97,,4.9,0.24,0
6.441008,2.25,6.1,0.231,4819,0.77,0.8,4.51,0.52,0.13,0
13.63083,3.48,9.6,,5289,0.98,0.89,4.39,11.7,0.15,0
6.535,3.31,699.2225,,3861,0.58,0.57,4.67,,0.01,0
2.753436,1.032,0.9,0.0015,2960,0.18,0.14,5.12,0.5,0.2,0
76.8,11.209,1951.46642,0.448,5951,1.06,1.13,4.44,1.2,0.16,0
9.139703,2.87,16.9,0.18,6146,1.26,1.2,4.3,2.3,0.21,0
91.68278,2.91,1112.39942,0.21,5592,1.03,0.93,4.38,10,0.03,0
2.7325321,467.2101,17.901,0,6700,1.52,1.33,4.2,0.7,0.04,0
3.7650007,1398.452,23.203,0,6720,1.93,1.47,4.04,1.88,0.03,0
,4417.837,16.141,,3064,0.28,0.11,4.59,0.035,0.15,0
5.20851,153.82972,10.705,0.047,5150,1.78,1.01,3.6,12,0.03,0
5800000,3813.94088,14.572,0.68,,,,,0.14,0.03,0
1.4013794,603.877,14.572,0,5675,0.96,0.98,4.47,0.6,0.17,0
54.32031,35,6.56,0.019,6182,1.52,1.28,4.18,3.16,0.2,0
16.1456994,4.7,2.17,0.089,4909,0.72,0.8,,1.1,0.21,0
26.723,6.1,2.6,,,1.7,1.21,4.05,,0.18,0
282.525,25426.4,10.088,,5629,1,0.94,,,0.13,0
3.1606296,734.16,10.548,,4400,0.59,0.69,4.63,,0.18,0
2.3114243,492.62,12.464,0,5600,1.01,0.93,4.4,8,0.08,0
2.3114243,489.4582,12.464,0.016,5600,1.01,0.93,,8.8,0.2,0
8.726,40,1.95,,,1.02,1,,,0.22,0
12.883,20.2,2.06,,,1.02,1,,,0.09,0
12.513,20.9,2.14,,,0.87,0.97,,,0.12,0
138.317,169,6.18,0.0702,6407,1.73,1.53,4.14,2,0.19,0
3.0524,270.1555,12.33,0,5545,0.83,0.81,4.53,,0.12,0
3.052404,298.7602,13.227,0.026,5545,0.87,0.93,4.53,,0.08,0
3.05240154,310.51991,13.204,,5546,0.89,0.99,4.54,1.2,0.24,0
3.052401,292.391,13.451,0,5450,0.9,0.93,,,0.13,0
3.052401,299.07803,13.451,0.12,5450,0.9,0.93,,9.8,0.04,0
6.212445,69.28694,6.938,,,0.8,0.89,4.58,1.7,0.24,0
,4767.45,20.176,,4432,0.9,0.69,4.37,,0.16,0
4.627649,724.6524,13.451,0.066,6583,1.53,1.32,4.1,1.6,0.19,0
4.234516,18.751,6.333,0.124,5079,0.79,0.82,4.56,9,0.09,0
9.4897116,8.3,2.12,0.05,5212,0.73,0.85,4.64,3.9,0.11,0
9.4909,8.88263,2.354,0.06,5175,0.74,0.89,4.49,,0.15,0
9.4903,7.55,2.247,0.078,5170,0.74,0.77,4.58,6,0.08,0
9.4909,7.86,2.341,0.063,5119,0.7,0.75,4.62,,0.25,0
,3178.3,13.115,0.15,7400,,,4,0.03,0.1,0
10.304,4.3,1.71,,,1.05,0.92,,,0.23,0
10.3039,1.9,1.8,0.045,5663,1.06,0.96,4.37,8.5,0.01,0
10.30375,4.3,1.97,0,5680,1.1,0.95,4.3,8,0.19,0
13.02502,13.5,3.15,0,5680,1.1,0.95,4.3,8,0.07,0
13.0241,2.9,2.87,0.026,5663,1.06,0.96,4.37,8.5,0.1,0
13.025,5.9,2.73,,,1.05,0.92,,,0.08,0
1.42002406,405.23325,12.733,,,0.78,0.8,4.56,9.8,0.2,0
1.42002504,422.7139,13.227,0,4910,0.8,0.85,4.55,4.5,0.06,0
1.42002504,419.85343,13.227,0.012,4910,0.8,0.85,,11.6,0.2,0
,1906.98,14.011,,,,,,0.5,0.03,0
,92.1707,12.89,,5924,1.35,1.08,4.21,,0.25,0
