pl_orbper,pl_mass,pl_rad,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,st_age,ESI
12.352446,1.321,1.129,0.048,2566,0.12,0.09,5.24,12,0.58
11.1868,1.08,1.27,0.02,2900,0.14,0.12,4.840488283,12,0.87
24.73694,6.38,1.635,0.096,2988,0.21,0.19,4.684055208,11.50833333,0.62
10.3465,1.08,1.03,0.050857143,3024,0.14,0.12,5.1,11.9297619,0.86
21.202,1.36,1.1,0.050857143,3024,0.14,0.12,5.1,11.9297619,0.58
17.478,4.4,1.94,0.08,3028,0.560666667,0.27,4.739514514,11.56452381,0.57
10.77,4,1.83,0.33,3071,0.21,0.18,5.04,11.68215873,0.77
8.689099,1.2,1.017,0.086174876,3240,0.23,0.2,5,11.57144351,0.92
17.70632,5.47,2.2,0.087955146,3315,0.28,0.27,4.97,11.47820964,0.73
17.8719,3.41,1.66,0.11,3342,0.31,0.29,4.753794017,11.36019966,0.8
24.158868,2.21,1.29,0.11,3360.47,0.33,0.27,4.766355637,11.47259012,0.87
24.329,6.4,2.25,0.09,3371,0.592987654,0.43,4.70912611,10.97025862,0.7
18.6498,2.89,1.51,0.1,3382,0.29,0.29,4.806575399,11.68836206,0.85
35.189346,5.43,2.2,0.496,3430,0.31,0.33,4.97,11.53285232,0.72
32.939623,8.92,2.38,0.2,3457,0.41,0.36,4.733176085,11.09960192,0.7
37.42396,1.57,1.073,0.042,3459,0.42,0.41,4.81,11.09960192,0.93
48.1345,7.6,2.67,0.12,3466,0.4,0.42,4.763525057,11.34955927,0.63
55.661,6.1,2.34,0.10657243,3505,0.34,0.34,4.94,11.5591238,0.58
34.14211,2.96,1.53,0.33,3740,0.48,0.5,4.77,11.28052718,0.85
63.33627,3.91,1.8,0.33,3740,0.48,0.5,4.77,11.28052718,0.66
6.535,3.31,699.2225,0.104068599,3861,0.58,0.57,4.67,10.82198453,0.25
92.743711,3.97,1.82,0.109545893,4351,0.57,0.507894737,4.72,10.97051004,0.79
3.1606296,734.16,10.548,0.106807246,4400,0.59,0.69,4.63,10.89624729,0.19
3.1606296,4767.45,20.176,0.157367439,4432,0.9,0.69,4.37,11.34779176,0.12
52.661793,5.66,2.24,0.105499175,4508,0.62,0.536462668,4.68,10.83939373,0.73
247.35373,5.43,2.19,0.105499175,4880,0.62,0.536462668,4.68,10.83939373,0.68
9.4909,7.86,2.341,0.063,5119,0.7,0.75,4.62,10.77766778,0.12
169.134,5.56,2.35,0.12112858,5146,0.84,0.87,4.53,11.47122381,0.71
9.4909,8.88263,2.354,0.06,5175,0.74,0.89,4.49,11.36862891,0.04
3.36101,117.5971,11.545,0.05,5450,0.73,0.55,4.6,11.22833901,0.15
3.361006,160,13.72,0.054,5450,0.87,0.88,4.622177094,9.467376503,0.06
3.052401,292.391,13.451,0,5450,0.9,0.93,4.62506018,9.467376503,0.23
3.0524,270.1555,12.33,0,5545,0.83,0.81,4.53,11.22107518,0.05
3.052404,298.7602,13.227,0.026,5545,0.87,0.93,4.53,11.22107518,0.16
282.525,25426.4,10.088,0.121665434,5629,1,0.94,4.624245423,9.7284966,0.16
12.513,20.9,2.14,0.120491385,4548.191754,0.87,0.97,4.62491499,9.796503594,0.22
8.726,40,1.95,0.121147581,4562.897234,1.02,1,4.624081858,9.864059983,0.08
12.883,20.2,2.06,0.121144983,4563.803072,1.02,1,4.624251519,9.918483363,0.09
10.304,4.3,1.71,0.122738995,4561.440138,1.05,0.92,4.620952193,9.973673269,0.14
13.025,5.9,2.73,0.120538193,4551.129398,1.05,0.92,4.620952193,10.0296405,0.21
26.723,6.1,2.6,0.121392438,4531.232448,1.7,1.21,4.05,9.946464278,0.16
106.3,7.56,2.66,0.14,4538.669786,0.730121491,0.43,4.684130619,10.89402626,0.48
36.059,5.22,2.14,0.07,4549.759321,0.733918912,0.48,4.684130619,10.89402626,0.74
121.93268,8.57,2.87,0.366,4560.497833,0.737844087,0.51,4.704415091,10.95953305,0.56
60.722,8.1,2.77,0.17,4557.270961,0.73800931,0.61,4.723854118,11.10817118,0.65
25.63058,6.8,2.41,0.099,4548.116062,0.736601989,0.673689063,4.61958509,10.41983886,0.69

